#Data tag : 22v1 , Norm tag: None
#run:fill,time,nls,ncms,delivered(/fb),recorded(/fb)
354504:7876,06/26/22 22:45:19,128,125,0.000000399,0.000000375
354505:7876,06/26/22 23:35:03,8,4,0.000000023,0.000000007
354506:7876,06/26/22 23:37:59,39,3,0.000000109,0.000000005
354507:7876,06/26/22 23:52:56,642,642,0.000001206,0.000001188
354588:7886,06/29/22 03:58:26,314,314,0.000010160,0.000010031
354595:7886,06/29/22 07:58:33,105,99,0.000005548,0.000004944
354596:7886,06/29/22 08:39:04,195,195,0.000015074,0.000014888
354655:7888,06/29/22 20:51:19,154,95,0.000007344,0.000004643
354664:7888,06/29/22 21:51:08,29,29,0.000000138,0.000000137
354669:7889,06/30/22 00:02:44,219,219,0.000012437,0.000012280
354774:7893,06/30/22 23:44:47,212,212,0.000014491,0.000014311
354777:7894,07/01/22 03:25:18,160,160,0.000005449,0.000005386
354780:7895,07/01/22 06:31:19,31,0,0.000000005,0
354784:7895,07/01/22 06:43:16,292,281,0.000000038,0.000000036
354787:7895,07/01/22 08:36:28,373,373,0.000000036,0.000000036
355058:7916,07/05/22 00:13:00,350,350,0.000000054,0.000000054
355100:7920,07/05/22 14:47:25,283,279,0.000026848,0.000026054
355101:7920,07/05/22 16:37:01,33,31,0.000002663,0.000002493
355102:7920,07/05/22 16:49:44,23,20,0.000001606,0.000001212
355103:7920,07/05/22 16:58:38,49,43,0.000004707,0.000003910
355104:7920,07/05/22 17:17:22,34,28,0.000003388,0.000002612
355105:7920,07/05/22 17:30:33,35,29,0.000003459,0.000002732
355106:7920,07/05/22 17:44:01,34,27,0.000003324,0.000002447
355107:7920,07/05/22 17:56:53,36,29,0.000003509,0.000002756
355108:7920,07/05/22 18:10:31,41,34,0.000004079,0.000003228
355109:7920,07/05/22 18:26:15,35,29,0.000003547,0.000002776
355110:7920,07/05/22 18:39:39,34,28,0.000003430,0.000002737
355111:7920,07/05/22 18:52:47,33,28,0.000003312,0.000002665
355112:7920,07/05/22 19:06:00,33,27,0.000003287,0.000002571
355113:7920,07/05/22 19:18:45,33,27,0.000003372,0.000002540
355114:7920,07/05/22 19:31:31,7,4,0.000000723,0.000000002
355115:7920,07/05/22 19:33:56,6,1,0.000000619,0.000000002
355116:7920,07/05/22 19:35:59,7,5,0.000000724,0.000000002
355117:7920,07/05/22 19:39:25,39,34,0.000003968,0.000003340
355118:7920,07/05/22 19:55:00,31,27,0.000003189,0.000002620
355119:7920,07/05/22 20:07:48,31,27,0.000003166,0.000002645
355120:7920,07/05/22 20:20:31,33,27,0.000003340,0.000002562
355121:7920,07/05/22 20:33:16,42,35,0.000004209,0.000003406
355122:7920,07/05/22 20:49:16,34,28,0.000003545,0.000002816
355123:7920,07/05/22 21:02:21,33,27,0.000003417,0.000002583
355124:7920,07/05/22 21:14:57,34,27,0.000003489,0.000002689
355125:7920,07/05/22 21:27:51,5,3,0.000000511,0.000000002
355126:7920,07/05/22 21:30:17,6,4,0.000000612,0.000000002
355127:7920,07/05/22 21:33:22,47,43,0.000004758,0.000004251
355128:7920,07/05/22 21:52:20,31,27,0.000003251,0.000002708
355129:7920,07/05/22 22:05:00,31,27,0.000003246,0.000002748
355130:7920,07/05/22 22:17:40,270,270,0.000027233,0.000026834
355133:7921,07/06/22 02:34:27,278,274,0.000056449,0.000054723
355134:7921,07/06/22 04:22:12,146,144,0.000031739,0.000029982
355135:7921,07/06/22 05:18:57,1081,1081,0.000217430,0.000210182
355203:7923,07/07/22 00:21:21,18,11,0.000015341,0.000007764
355204:7923,07/07/22 00:27:59,22,14,0.000018299,0.000006216
355205:7923,07/07/22 00:36:28,56,48,0.000047097,0.000030508
355206:7923,07/07/22 00:57:55,244,237,0.000196438,0.000151308
355207:7923,07/07/22 02:32:36,752,749,0.000556628,0.000545400
355208:7923,07/07/22 07:24:31,514,514,0.000399309,0.000391717
355374:7960,07/10/22 12:15:14,52,44,0.000352350,0.000195509
355375:7960,07/10/22 12:35:05,23,6,0.000160099,0.000019182
355376:7960,07/10/22 12:43:45,71,62,0.000488179,0.000237960
355379:7960,07/10/22 13:11:03,170,163,0.001091001,0.000927335
355380:7960,07/10/22 14:16:55,294,265,0.002378265,0.001688730
355381:7960,07/10/22 16:11:05,361,358,0.002669021,0.002186833
355382:7960,07/10/22 18:31:06,108,101,0.000717399,0.000553944
355383:7960,07/10/22 19:13:01,274,274,0.001622765,0.001367474
355404:7963,07/11/22 02:27:34,1079,1068,0.008007936,0.007610321
355405:7963,07/11/22 09:26:35,23,13,0.000149218,0.000057988
355406:7963,07/11/22 09:35:12,29,22,0.000189494,0.000103022
355407:7963,07/11/22 09:46:22,46,42,0.000297186,0.000189617
355408:7963,07/11/22 10:04:02,41,33,0.000259946,0.000150440
355409:7963,07/11/22 10:19:37,9,5,0.000055473,0.000000850
355410:7963,07/11/22 10:22:52,19,12,0.000118173,0.000044604
355411:7963,07/11/22 10:30:12,25,3,0.000154826,0.000001158
355414:7963,07/11/22 10:39:54,19,12,0.000116647,0.000043794
355415:7963,07/11/22 10:47:11,23,4,0.000139925,0
355417:7963,07/11/22 10:55:58,26,12,0.000156647,0.000047101
355418:7963,07/11/22 11:05:52,47,41,0.000278631,0.000236073
355419:7963,07/11/22 11:24:08,124,109,0.000528636,0.000513883
355429:7965,07/11/22 14:40:20,67,67,0.000436861,0.000400244
355435:7966,07/11/22 17:19:12,61,48,0.000497470,0.000271002
355437:7966,07/11/22 17:42:46,15,10,0.000124153,0.000056633
355438:7966,07/11/22 17:48:31,21,17,0.000179526,0.000094495
355439:7966,07/11/22 17:56:22,16,11,0.000134792,0.000060142
355440:7966,07/11/22 18:02:31,11,4,0.000092213,0.000000081
355441:7966,07/11/22 18:06:31,20,14,0.000169987,0.000082634
355442:7966,07/11/22 18:14:11,29,22,0.000246066,0.000136514
355443:7966,07/11/22 18:25:07,243,240,0.002085112,0.001972762
